player,Playtime (min),Initial Rating,Berserk Perf,Normal Perf,Game Count,Start Time,Placement,Score,Final Rating,Performance,Points Per Game
TruenoChess , 305.77873333333326, 2349, 0, 52, 172, 1596240002570, 563, 362, 2401, 2345, 2.104651162790698
random1004 , 539.15515, 2347, -96, 60, 350, 1596240002570, 286, 498, 2319, 2221, 1.4228571428571428
The_Knight_of_Spring , 440.64335, 2141, 0, -24, 256, 1596240002573, 549, 368, 2117, 2047, 1.4375
mestrefeitosa , 304.2050166666667, 2139, -28, 90, 153, 1596240002573, 732, 315, 2201, 2161, 2.0588235294117645
RRR17 , 321.00846666666666, 2467, 0, -172, 181, 1596240002570, 1401, 218, 2295, 2239, 1.2044198895027625
play1ngtheangel , 534.7975833333333, 2461, -231, 402, 389, 1596240002570, 37, 823, 2632, 2539, 2.115681233933162
Fantastika , 98.07711666666668, 2146, 0, 7, 61, 1596240002572, 3563, 102, 2153, 2122, 1.6721311475409837
elbbackk , 90.67049999999998, 2150, -24, -25, 57, 1596240002572, 3249, 112, 2104, 2024, 1.9649122807017543
sha6rath , 202.30748333333335, 2296, 0, -26, 112, 1596240002570, 1104, 252, 2294, 2242, 2.25
Draugy , 531.1321666666666, 2296, -22, -49, 292, 1596240002570, 402, 426, 2225, 2145, 1.4589041095890412
RhenzRheann_Auza98 , 91.29916666666666, 2292, 7, 4, 54, 1596240002572, 4595, 76, 2303, 2307, 1.4074074074074074
Jose_MF , 50.13734999999999, 2287, 0, 17, 26, 1596240002572, 6440, 47, 2304, 2346, 1.8076923076923077
david252525 , 834.6652166666663, 2207, -6, -23, 462, 1596240002572, 360, 450, 2178, 2050, 0.974025974025974
asfel , 3.2895833333333337, 2209, 0, -12, 2, 1596240002572, 16715, 0, 2197, 1706, 0.0
alberto_rivera , 214.31868333333335, 2158, 0, -35, 117, 1596240002572, 2018, 171, 2130, 2086, 1.4615384615384615
GilsonRosa , 61.06166666666666, 2161, 0, 18, 32, 1596240002572, 6685, 44, 2179, 2215, 1.375
cmvicentuco , 420.47866666666704, 2227, -62, 66, 246, 1596240002572, 544, 369, 2231, 2197, 1.5
manu_ginobili , 219.58100000000002, 2228, 0, 6, 130, 1596240002572, 1434, 214, 2221, 2203, 1.646153846153846
GodlessFiend , 479.3972, 2206, -98, 21, 255, 1596240002567, 748, 311, 2129, 2063, 1.219607843137255
Dragon_Sword , 122.67875000000002, 2206, 1, 33, 60, 1596240002567, 3972, 91, 2240, 2269, 1.5166666666666666
drg2 , 960.8881833333329, 2329, -3, 83, 678, 1596240002566, 85, 765, 2409, 2295, 1.1283185840707965
gmferney28 , 550.6107166666666, 2323, 0, -78, 309, 1596240002566, 339, 459, 2256, 2195, 1.4854368932038835
AbrVG , 476.02250000000043, 2210, 0, 18, 268, 1596240002568, 565, 362, 2228, 2154, 1.3507462686567164
Fiyafwy , 1161.96325, 2211, 3, -29, 675, 1596240002568, 159, 641, 2188, 2058, 0.9496296296296296
Smiling_Friend , 32.84618333333333, 2253, 0, -1, 19, 1596240002568, 8410, 27, 2252, 2250, 1.4210526315789473
tacotruck , 2.0954, 2254, 0, -5, 1, 1596240002568, 16624, 0, 2245, 1753, 0.0
kon_stan , 763.5932, 2247, -16, 16, 450, 1596240002567, 188, 601, 2247, 2139, 1.3355555555555556
Lwazi_2004 , 924.1909499999996, 2250, -65, 57, 492, 1596240002567, 257, 524, 2217, 2018, 1.065040650406504
Ba1Mate , 629.2131333333333, 2152, 0, -144, 350, 1596240002567, 642, 338, 2008, 1954, 0.9657142857142857
gerarda-brouwer , 72.14708333333334, 2158, 0, 19, 45, 1596240002567, 5507, 60, 2177, 2164, 1.3333333333333333
romariorestrepo , 337.65614999999997, 2122, -8, 26, 178, 1596240002570, 1168, 245, 2070, 2021, 1.3764044943820224
Ubaldow , 146.5237833333333, 2120, 0, 21, 82, 1596240002570, 2181, 160, 2141, 2128, 1.951219512195122
DerMichel , 868.5411166666656, 2215, -110, 134, 543, 1596240002567, 226, 556, 2243, 2155, 1.0239410681399632
Qba87 , 602.4421833333334, 2216, 0, 56, 352, 1596240002567, 277, 506, 2273, 2185, 1.4375
clubcousino , 29.845983333333336, 2293, 0, -44, 19, 1596240002567, 8020, 30, 2286, 2059, 1.5789473684210527
PouyaSky , 41.27195000000001, 2292, -10, -6, 29, 1596240002567, 4659, 75, 2276, 2176, 2.586206896551724
jlandaw , 289.86800000000017, 2237, -55, 328, 179, 1596240002567, 541, 370, 2510, 2492, 2.0670391061452515
d0nete , 927.704099999999, 2237, 0, -1, 569, 1596240002567, 158, 644, 2242, 2116, 1.131810193321617
vangulio , 326.0041166666669, 2526, 0, -23, 192, 1596240002568, 349, 454, 2507, 2444, 2.3645833333333335
BehindBluEyes , 773.4496833333338, 2523, -51, -124, 521, 1596240002568, 136, 683, 2348, 2258, 1.310940499040307
chess-only-chess , 1299.4735000000016, 2555, -79, -85, 797, 1596240002566, 30, 846, 2391, 2255, 1.0614805520702635
ARM__55555 , 1078.0230333333334, 2556, -69, 65, 742, 1596240002566, 9, 1033, 2552, 2387, 1.3921832884097034
LiamPutnam2008 , 916.6647, 2494, -53, 72, 534, 1596240002569, 34, 829, 2545, 2429, 1.5524344569288389
chesssky2 , 177.03773333333336, 2500, -60, -87, 107, 1596240002569, 2447, 145, 2353, 2297, 1.355140186915888
Pyphax , 318.84751666666665, 2315, 1, -1, 197, 1596240002568, 550, 367, 2323, 2269, 1.8629441624365481
j_coca , 164.14430000000002, 2317, -49, 19, 103, 1596240002568, 1199, 241, 2287, 2238, 2.3398058252427183
Leva28 , 176.08485000000002, 2431, -79, 52, 119, 1596240002566, 569, 359, 2412, 2311, 3.0168067226890756
